Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"Statement - Else If (user.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:12,2018-08-02 15:41:12,0.000s,PASSED
"Statement - Else If (password.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:12,2018-08-02 15:41:12,0.025s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:12,2018-08-02 15:41:13,0.540s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 15:41:13,2018-08-02 15:41:17,3.731s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:13,2018-08-02 15:41:15,1.954s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 15:41:15,2018-08-02 15:41:16,0.861s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:16,2018-08-02 15:41:16,0.092s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:16,2018-08-02 15:41:16,0.095s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 15:41:16,2018-08-02 15:41:16,0.142s,PASSED
"Statement - If (user.equals("""") && password.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:16,2018-08-02 15:41:16,0.000s,PASSED
"Statement - Else If (user.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:16,2018-08-02 15:41:16,0.022s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:16,2018-08-02 15:41:17,0.548s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 15:41:17,2018-08-02 15:41:20,3.654s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:17,2018-08-02 15:41:19,1.948s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 15:41:19,2018-08-02 15:41:19,0.777s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:19,2018-08-02 15:41:19,0.094s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:19,2018-08-02 15:41:20,0.094s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 15:41:20,2018-08-02 15:41:20,0.149s,PASSED
"Statement - If (user.equals("""") && password.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:20,2018-08-02 15:41:20,0.001s,PASSED
"Statement - Else If (user.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:20,2018-08-02 15:41:20,0.000s,PASSED
"Statement - Else If (password.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:20,2018-08-02 15:41:20,0.001s,PASSED
Statement - Else,Chrome 67.0.3396.99,,2018-08-02 15:41:20,2018-08-02 15:41:20,0.036s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:20,2018-08-02 15:41:20,0.542s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 15:41:20,2018-08-02 15:41:24,3.854s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:20,2018-08-02 15:41:22,1.920s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 15:41:22,2018-08-02 15:41:23,0.962s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:23,2018-08-02 15:41:23,0.097s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:23,2018-08-02 15:41:23,0.084s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 15:41:23,2018-08-02 15:41:24,0.132s,PASSED
"Statement - If (user.equals("""") && password.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:24,2018-08-02 15:41:24,0.000s,PASSED
"Statement - Else If (user.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:24,2018-08-02 15:41:24,0.000s,PASSED
"Statement - Else If (password.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:24,2018-08-02 15:41:24,0.022s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:24,2018-08-02 15:41:24,0.618s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 15:41:24,2018-08-02 15:41:28,3.861s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:24,2018-08-02 15:41:26,1.955s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 15:41:26,2018-08-02 15:41:27,0.983s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:27,2018-08-02 15:41:27,0.090s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:27,2018-08-02 15:41:27,0.097s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 15:41:27,2018-08-02 15:41:27,0.164s,PASSED
"Statement - If (user.equals("""") && password.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:27,2018-08-02 15:41:27,0.001s,PASSED
"Statement - Else If (user.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:27,2018-08-02 15:41:27,0.022s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:27,2018-08-02 15:41:28,0.542s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 15:41:28,2018-08-02 15:41:33,5.160s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:28,2018-08-02 15:41:30,1.969s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 15:41:30,2018-08-02 15:41:31,0.816s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:31,2018-08-02 15:41:31,0.097s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:31,2018-08-02 15:41:31,0.100s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 15:41:31,2018-08-02 15:41:33,1.573s,PASSED
"Statement - If (user.equals("""") && password.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:33,2018-08-02 15:41:33,0.000s,PASSED
"Statement - Else If (user.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:33,2018-08-02 15:41:33,0.000s,PASSED
"Statement - Else If (password.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:33,2018-08-02 15:41:33,0.001s,PASSED
Statement - Else,Chrome 67.0.3396.99,,2018-08-02 15:41:33,2018-08-02 15:41:33,0.051s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:33,2018-08-02 15:41:33,0.546s,PASSED
