Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite01,Chrome 67.0.3396.99,,2018-08-02 15:41:04,2018-08-02 15:41:33,29.041s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 15:41:04,2018-08-02 15:41:09,4.788s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:05,2018-08-02 15:41:07,2.740s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 15:41:07,2018-08-02 15:41:08,0.892s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:08,2018-08-02 15:41:08,0.126s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:08,2018-08-02 15:41:08,0.090s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 15:41:08,2018-08-02 15:41:09,0.141s,PASSED
"Statement - If (user.equals("""") && password.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:09,2018-08-02 15:41:09,0.033s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:09,2018-08-02 15:41:09,0.552s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 15:41:09,2018-08-02 15:41:13,3.680s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 15:41:09,2018-08-02 15:41:11,1.962s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 15:41:11,2018-08-02 15:41:12,0.764s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:12,2018-08-02 15:41:12,0.102s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 15:41:12,2018-08-02 15:41:12,0.090s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 15:41:12,2018-08-02 15:41:12,0.177s,PASSED
"Statement - If (user.equals("""") && password.equals(""""))",Chrome 67.0.3396.99,,2018-08-02 15:41:12,2018-08-02 15:41:12,0.001s,PASSED
