Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 67.0.3396.99,,2018-08-02 14:55:37,2018-08-02 14:55:37,0.133s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:55:37,2018-08-02 14:55:37,0.067s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 14:55:37,2018-08-02 14:55:41,3.695s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 14:55:37,2018-08-02 14:55:40,2.476s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 14:55:40,2018-08-02 14:55:40,0.786s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 14:55:40,2018-08-02 14:55:41,0.101s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-02 14:55:41,2018-08-02 14:55:41,0.082s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:55:41,2018-08-02 14:55:41,0.181s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:55:41,2018-08-02 14:55:41,0.061s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 14:55:41,2018-08-02 14:55:45,3.777s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 14:55:41,2018-08-02 14:55:43,2.492s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 14:55:43,2018-08-02 14:55:44,0.865s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 14:55:44,2018-08-02 14:55:44,0.097s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-02 14:55:44,2018-08-02 14:55:44,0.079s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:55:44,2018-08-02 14:55:45,0.161s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:55:45,2018-08-02 14:55:45,0.067s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 14:55:45,2018-08-02 14:55:48,3.840s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 14:55:45,2018-08-02 14:55:47,2.489s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 14:55:47,2018-08-02 14:55:48,0.967s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 14:55:48,2018-08-02 14:55:48,0.101s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-02 14:55:48,2018-08-02 14:55:48,0.078s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:55:48,2018-08-02 14:55:48,0.135s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:55:48,2018-08-02 14:55:48,0.064s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 14:55:48,2018-08-02 14:55:52,3.650s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 14:55:48,2018-08-02 14:55:51,2.459s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 14:55:51,2018-08-02 14:55:52,0.798s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 14:55:52,2018-08-02 14:55:52,0.099s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-02 14:55:52,2018-08-02 14:55:52,0.074s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:55:52,2018-08-02 14:55:52,0.149s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:55:52,2018-08-02 14:55:52,0.059s,PASSED
