Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite01,Chrome 67.0.3396.99,,2018-08-02 14:55:24,2018-08-02 14:55:53,28.190s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 14:55:25,2018-08-02 14:55:29,4.531s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 14:55:25,2018-08-02 14:55:28,2.686s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 14:55:28,2018-08-02 14:55:29,1.002s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 14:55:29,2018-08-02 14:55:29,0.134s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-02 14:55:29,2018-08-02 14:55:29,0.245s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:55:29,2018-08-02 14:55:29,0.167s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:55:29,2018-08-02 14:55:29,0.081s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 14:55:29,2018-08-02 14:55:33,3.857s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 14:55:29,2018-08-02 14:55:32,2.536s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 14:55:32,2018-08-02 14:55:33,0.885s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 14:55:33,2018-08-02 14:55:33,0.100s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-02 14:55:33,2018-08-02 14:55:33,0.079s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:55:33,2018-08-02 14:55:33,0.177s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:55:33,2018-08-02 14:55:33,0.068s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 14:55:33,2018-08-02 14:55:37,3.923s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 14:55:33,2018-08-02 14:55:36,2.540s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 14:55:36,2018-08-02 14:55:37,0.985s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 14:55:37,2018-08-02 14:55:37,0.101s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-02 14:55:37,2018-08-02 14:55:37,0.088s,PASSED
